"aar","maaned","total_aarsvaerk","total_ansatte"
2015,1,19781,22087
2015,2,19948,22225
2015,3,20087,22421
2015,4,20022,22406
2015,5,20168,22466
2015,6,20224,22511
2015,7,19764,22153
2015,8,20097,22542
2015,9,20551,22904
2015,10,20675,23036
2015,11,20738,23116
2015,12,20847,23257
2016,1,21105,23524
2016,2,21457,23913
2016,3,21643,24181
2016,4,21651,24181
2016,5,21751,24300
2016,6,21822,24393
2016,7,21688,24238
2016,8,21970,24605
2016,9,22298,24892
2016,10,22433,24992
2016,11,22603,25251
2016,12,22522,25288
2017,1,22602,25386
2017,2,22904,25711
2017,3,23035,25896
2017,4,23154,26192
2017,5,23241,26163
2017,6,23290,26194
2017,7,23074,25865
2017,8,23421,26327
2017,9,23668,26531
2017,10,23991,26824
2017,11,24355,27269
2017,12,24303,27291
2018,1,24235,27319
2018,2,24630,27655
2018,3,24821,27950
2018,4,24977,28306
2018,5,25193,28443
2018,6,25233,28472
2018,7,24916,28026
2018,8,25282,28505
2018,9,25719,28780
2018,10,25833,28955
2018,11,25872,29118
2018,12,25783,29077
2019,1,25781,29085
2019,2,26181,29537
2019,3,26269,29529
2019,4,26354,29749
2019,5,26422,29839
2019,6,26501,29932
2019,7,26219,29556
2019,8,26513,29901
2019,9,26978,30176
2019,10,26317,30436
2019,11,27953,30609
2019,12,28582,30493
2020,1,26950,30195
2020,2,27992,30502
2020,3,27559,30650
2020,4,28145,30400
2020,5,28117,30339
2020,6,28042,30498
2020,7,26757,30120
2020,8,27435,30366
2020,9,27794,30788
2020,10,27867,30936
2020,11,28479,31152
2020,12,28859,31466
2021,1,28964,31460
2021,2,29338,31786
2021,3,28920,32226
2021,4,30169,32438
2021,5,30046,32734
2021,6,29445,32889
2021,7,29150,32640
2021,8,29590,33279
2021,9,30313,33808
2021,10,30857,33930
2021,11,30650,34165
2021,12,31280,34510
2022,1,31244,34489
2022,2,32096,34987
2022,3,31652,35417
2022,4,33202,35630
2022,5,32952,36186
2022,6,33275,36713
2022,7,32884,36248
2022,8,32732,36852
2022,9,33685,37365
2022,10,34203,37477
2022,11,33922,37647
2022,12,34401,37816
